,pid,Comfort,Anxiety,LatDist,LongDist,MaxVel,MeanVel,MaxLatAcc,MeanLatAcc,MaxLongAcc,MeanLongAcc,MaxLatJerk,MeanLatJerk,MaxLongJerk,MeanLongJerk,NumPks,MaxPkAmp,MeanScl,MeanEntropy,MaxEntropy,MeanDwell,MaxDwell,MeanHr,MaxHr,Event,Trial
206,27,7,1,200.0,200.0,9.993423,4.4613579219999995,-0.366609,0.1179497184,-3.032577,1.0402891029999999,0.190839,0.0321143448,1.119646,0.19680388219999997,2,0.1260421034,0.0537422121,0.2657508302,0.3043014834,0.6796351053,0.765996408,151.76466069999998,180.4201795,2,2
207,27,7,2,200.0,15.029923000000002,10.105242,2.224212831,-0.152719,0.0314788575,-3.058664,0.8211214803,-0.102391,0.014384850900000001,1.310117,0.13756425220000001,1,0.0651182058,0.0140908551,0.263521124,0.3054548648,0.6793351062999999,0.8322828118000001,155.266774,179.8664145,3,2
208,27,7,2,200.0,200.0,9.628878,7.423886167999999,2.240847,1.091713628,-1.6546049999999999,0.5479942362,0.644072,0.1923734725,-0.534963,0.14427184140000002,0,-0.0455284892,-0.0455284892,0.2549150425,0.2919870144,0.5749012617,0.6618652986,168.1269879,188.7514376,4,2
209,23,9,1,7.2659899999999995,200.0,10.177735,9.74400107,0.5688479999999999,0.1917516816,-0.397111,0.13635124380000002,-0.411153,0.1235065323,0.248703,0.0853639005,0,0.0909681113,0.0909681113,,,0.3666083558,0.5514338146,110.26687050000001,130.49878600000002,1,3
210,23,7,3,200.0,27.241876,10.761128,3.140042527,-0.398696,0.1307077769,-3.2477169999999997,0.85290657,0.5230630000000001,0.0723225294,3.3647839999999998,0.4299339432,2,0.0293508029,-0.110036743,,,0.08344597349999999,0.160591263,99.13743648,123.1924989,2,3
211,23,6,6,200.0,9.918733999999999,10.691715,2.0037770669999997,0.9311389999999999,0.1354872138,-3.2855529999999997,0.8972113824,1.2945229999999999,0.1375478266,-2.5911009999999997,0.47713494770000003,3,0.44559951369999995,0.2550251534,,,0.0668891944,0.100260805,79.88594920000001,89.6886807,3,3
212,23,9,1,200.0,200.0,9.692088,7.305794172000001,2.266865,1.085979373,-1.685698,0.612147051,1.6012389999999999,0.4802592293,-1.274342,0.3323579777,1,-0.058240094000000006,-0.031052319,,,0.08320591299999999,0.1203153473,129.5162396,139.4859055,4,3
213,17,4,4,9.226332000000001,200.0,10.296441,9.919370788,0.556305,0.1494331872,-0.550725,0.42441201479999996,0.923056,0.1939758177,-0.31905900000000004,0.0380144581,1,-0.10930357539999999,-0.1113085949,0.2053406038,0.258919536,0.3084092174,0.47909906770000005,93.35064998,113.1207862,1,1
214,17,6,2,200.0,200.0,10.184664999999999,4.614704691,-0.360489,0.11781381310000001,-2.768834,1.094151181,0.48413100000000003,0.08846737980000001,2.784441,0.4871350801,0,-0.2055185078,-0.2055185078,0.2158913044,0.2602595492,0.4163117988,0.6598794186,76.56131127,84.25618137,2,1
215,17,7,2,200.0,16.382479999999997,10.134265,2.9146240530000003,-0.135236,0.0561198828,-3.0872759999999997,0.6493371172,-0.27737,0.0331859838,3.001456,0.3254147253,2,0.2150354957,0.1359722774,0.2804362783,0.3092671051,0.5972165454,0.7628835003,83.28433228,99.27142001,3,1
216,17,3,4,200.0,200.0,9.730557000000001,8.946119767,3.844271,1.673746872,-1.508529,0.4492735837,-2.0694169999999996,0.7447992023000001,-0.711792,0.20313970039999998,0,0.0717007387,0.0717007387,0.2232854269,0.2513537456,0.249817073,0.3209343993,70.38398097,80.82226105,4,1
217,22,8,4,10.199778,200.0,10.19005,9.637991709,0.5512130000000001,0.19962579309999998,-0.41514399999999996,0.1771085764,0.145899,0.051646719199999996,0.109642,0.0382691921,0,0.0659065854,0.0659065854,0.20300367760000002,0.2613036812,0.7447213229,0.8263260641,150.5628012,163.8380149,1,3
218,22,5,6,200.0,33.276261,10.38397,4.486712168,-0.372879,0.11747484679999999,-2.855961,1.084345659,-0.205277,0.0345168642,1.1954280000000002,0.18495193350000003,2,0.4003602783,0.1492228488,0.093477984,0.135361232,0.13416908789999998,0.2323039904,124.4379443,142.5247622,2,3
219,22,6,6,200.0,16.712585999999998,9.315061,2.022682899,0.6989449999999999,0.18850157,-3.0359130000000003,0.8355516143,-0.272512,0.0379780074,1.248217,0.18472933170000003,1,0.1396575151,0.090180959,0.09433978720000001,0.2004769545,0.1323910705,0.24870468899999998,135.8904227,173.1281654,3,3
220,22,8,5,200.0,200.0,9.659213000000001,6.463495267000001,2.233551,0.9969887645000001,-1.8907330000000002,0.7929622615999999,0.636299,0.17739335469999998,0.702525,0.1339011047,3,0.283235905,0.0711543659,0.11350327119999999,0.1278287441,0.1028486175,0.1243284573,116.0462318,129.123026,4,3
221,20,7,3,7.909609,200.0,10.378486,10.09029423,0.589299,0.1644987,-0.614811,0.43665918,-0.263968,0.073437695,0.189123,0.015782735,1,-0.0733482847,-0.2177482764,0.1561169808,0.1877364004,0.8799306176999999,0.942425475,106.64768259999998,115.28110020000001,1,1
222,20,7,2,200.0,200.0,10.399686,4.831805255,-0.339812,0.1335123665,-2.769895,1.178233969,0.236521,0.042088,1.190488,0.20079718940000002,1,0.2720949857,-0.0367845629,0.1895817286,0.245676482,0.8522283001000001,0.9324246140000001,113.01505420000001,130.6355606,2,1
